agent_id,brand,parent_id,agent_reply,customer_id,customer_author,customer_text,proposed_intent,thread_id,agent_intent,agent_confidence,decision,decision_reason,draft_reply,evidence_json,gold_intent,human_auto_handle,correctness,groundedness,completeness,safety,tone,judge_correctness,judge_groundedness,judge_completeness,judge_safety,judge_tone,suggested_intent,suggested_auto_handle,assistant_review_note,annotation_notes
74679,AmazonHelp,74680,"@132722 Dein Feedback dazu geben wir weiter. Wann und ob es geändert wird, dazu haben wir keine Infos. ^SK",74680,132722,"@116316 Hey Amazon, eure neue auf 2 getrennte Bildschirme aufgeteilte Login/Passwort-Anmeldung saugt verfaulte Eier. Was soll der Scheiss?",account_access,74680,information_request,0.2602001026595623,ESCALATE,low intent confidence (0.26),Thanks for flagging this. I’m routing this to a support specialist so they can review the details securely.,"[{""customer"": ""Was soll der Schei\u00df?! @AmazonHelp @124285"", ""historical_reply"": ""@135249 Hey Jochen, sowas sollte nat\u00fcrlich nicht passieren. Hoffentlich ist nichts kaputtgegangen. Gerne nehmen wir dein Feedback zur Verpackung an. Melde dich doch hier:"", ""similarity"": 0.383, ""case_id"": ""88967""}, {""customer"": ""Was @116316 was soll ich tun \ud83d\ude2d\ud83d\ude2d\ud83d\ude2d"", ""historical_reply"": ""@131414 Unseren Kundenservice (am besten telefonisch) kontaktieren: Die Kollegen schauen nach was da los ist, und k\u00f6nnen eventuell zus\u00e4tzlich ben\u00f6tigte Infos weitergeben. ^AV"", ""similarity"": 0.273, ""case_id"": ""67478""}, {""customer"": ""So, it\u2019s Black Friday. Hey Amazon. Where\u2019s my stuff?"", ""historical_reply"": ""@149483 Is your order late? What was the original delivery date we gave?^SM"", ""similarity"": 0.139, ""case_id"": ""147371""}]",account_access,FALSE,1,1,1,2,2,1.0,2.0,1.0,2.0,2.0,information_request,False,"Review the suggestion against customer_text, draft_reply, and evidence_json. Human fields must be independently entered.",
69959,AmazonHelp,69957,@131827 I understand how worrisome such a situation can be. I'd like to inform you that we've sent the correspondence to your registered email ID. Kindly check it here: ^EM,69957,131827,@AmazonHelp Sir waiting for your early action. huge amount is blocked,account_access,69961,account_access,0.299824379674715,ESCALATE,account_access is high-risk; low intent confidence (0.30),Thanks for flagging this. I’m routing this to a support specialist so they can review the details securely.,"[{""customer"": ""@115850 y my number is blocked ?"", ""historical_reply"": ""@124278 You can connect with us via our e-mail support. We would be happy to help you. ^CB"", ""similarity"": 0.269, ""case_id"": ""38123""}, {""customer"": ""@AmazonHelp still waiting for a refund..."", ""historical_reply"": ""@146145 I'm sorry, did you contact our customer service team here: ^SI"", ""similarity"": 0.184, ""case_id"": ""133767""}, {""customer"": ""@115850 I'm waiting for that ..."", ""historical_reply"": ""@145223 You'd receive an update anytime soon. Appreciate your patience. ^EM"", ""similarity"": 0.181, ""case_id"": ""129645""}]",account_access,FALSE,1,1,1,2,2,2.0,2.0,2.0,2.0,2.0,account_access,False,"Review the suggestion against customer_text, draft_reply, and evidence_json. Human fields must be independently entered.",
11589,AmazonHelp,11590,"@118231 Hi, you should have received an email with an update over your account. We will not be check this for you. ^RW",11590,118231,@115851 my Amazonid is __email__ is blocked since 3months please unblock it.,account_access,11590,account_access,0.7878046068541967,ESCALATE,account_access is high-risk,Thanks for flagging this. I’m routing this to a support specialist so they can review the details securely.,"[{""customer"": ""@115850 y my number is blocked ?"", ""historical_reply"": ""@124278 You can connect with us via our e-mail support. We would be happy to help you. ^CB"", ""similarity"": 0.296, ""case_id"": ""38123""}, {""customer"": ""@AmazonHelp I have not received any mail s from your end. My mail I'd is __email__"", ""historical_reply"": ""@131812 We have sent you mail correspondence to your registered e-mail address; you may check this here: Also, please don't provide your order details, we consider it to be personal information. Our page is visible to the public. ^VH"", ""similarity"": 0.202, ""case_id"": ""69811""}, {""customer"": ""@AmazonHelp __email__ is my register email id..it is bloked not repsse by ur stuck"", ""historical_reply"": ""@122366 Please don't provide your order details, as we consider it to be personal information. 2/2 ^AP"", ""similarity"": 0.175, ""case_id"": ""28928""}]",account_access,FALSE,1,1,1,2,2,2.0,2.0,2.0,2.0,2.0,account_access,False,"Review the suggestion against customer_text, draft_reply, and evidence_json. Human fields must be independently entered.",
69956,AmazonHelp,69958,"@131827 I’d like to assist you with this, please fill this form: and I’ll contact you at the earliest ^RW",69958,131827,@AmazonHelp Sir already reported to the support team and also talk with the costumer service help line nos several times and answer is enquiry is going on. since last 54 days I am very much harrassing becz of a huge amount is blocked. kindly help,account_access,69961,complaint,0.1642788125743086,ESCALATE,low intent confidence (0.16); weak historical match (0.16); possible multi-issue message,Thanks for flagging this. I’m routing this to a support specialist so they can review the details securely.,"[{""customer"": ""@115850 Reported to the team. Still no update. Kindly address"", ""historical_reply"": ""@133926 In that case, I would request you to share your details here: and we'll investigate on your issue on priority. ^HS"", ""similarity"": 0.163, ""case_id"": ""80800""}, {""customer"": ""@AmazonHelp i had already written several times"", ""historical_reply"": ""@146436 If you've shared your details, you must have received an email correspondence by the social media team by now. Request you to check and respond to it for further assistance. ^NK"", ""similarity"": 0.142, ""case_id"": ""135116""}, {""customer"": ""@115850 y my number is blocked ?"", ""historical_reply"": ""@124278 You can connect with us via our e-mail support. We would be happy to help you. ^CB"", ""similarity"": 0.139, ""case_id"": ""38123""}]",account_access,FALSE,1,1,1,2,2,2.0,2.0,2.0,2.0,2.0,complaint,False,"Review the suggestion against customer_text, draft_reply, and evidence_json. Human fields must be independently entered.",
77536,AmazonHelp,77537,@133274 Is the email address you are accessing the same as the one you registered your Amazon account with?^SM,77537,133274,@AmazonHelp Trying to reset my password because I don't remember it and the code isn't coming through. Have tried 3 times!! Not in my junk folder either.,account_access,77537,account_access,0.6713745743577881,ESCALATE,account_access is high-risk; low intent confidence (0.67); weak historical match (0.20); possible multi-issue message,Thanks for flagging this. I’m routing this to a support specialist so they can review the details securely.,"[{""customer"": ""@AmazonHelp I was told I'd receive an email to reset my password since my account was hacked and 5 phone calls later nothing."", ""historical_reply"": ""@122588 Have you checked your junk/spam folders to make sure the e-mails aren't getting filtered out? ^MJ"", ""similarity"": 0.197, ""case_id"": ""29943""}, {""customer"": ""@AmazonHelp No. That is the problem. The last I received is about my order. I tried reset my password couple times, but it didn't help"", ""historical_reply"": ""@148042 Thanks for the update! We'd be happy to help, can you let us know which site you're using ( Amazon.cn, etc.)? ^GS"", ""similarity"": 0.184, ""case_id"": ""141984""}, {""customer"": ""@AmazonHelp i reset my password 3 times and it still says incorrect you gotta be shitting me"", ""historical_reply"": ""@116611 I'm sorry for the trouble! Have you tried the steps outlined here? ^LA"", ""similarity"": 0.183, ""case_id"": ""3729""}]",account_access,FALSE,1,1,1,2,2,2.0,2.0,2.0,2.0,2.0,account_access,False,"Review the suggestion against customer_text, draft_reply, and evidence_json. Human fields must be independently entered.",
73495,AmazonHelp,73496,"@132434 Hi, sorry to hear your having and issue putting in the code. Please reach out to us here: so we can take a look.^ES",73496,132434,@115821 how am I supposed to login to amazon hub if the login box only accepts 10 characters?,account_access,73496,account_access,0.6491027907413109,ESCALATE,account_access is high-risk; low intent confidence (0.65),Thanks for flagging this. I’m routing this to a support specialist so they can review the details securely.,"[{""customer"": ""@AmazonHelp This is the link to login to the account. It is still not working."", ""historical_reply"": ""@147142 You can click on 'Skip Sign-in' and fill in the details requested. As soon as we receive your details; we'll check and reach out to you with an update. ^VN"", ""similarity"": 0.262, ""case_id"": ""138261""}, {""customer"": ""@115830 been trying to login to my account to place an order, but it won\u2019t let me! What\u2019s going on?! #Irritating"", ""historical_reply"": ""@132121 Hi Zoe, have you checked to make sure your username and password are correct? You could always try to choose the \""forgot username/password\"" option and follow the instructions from there. ^HS"", ""similarity"": 0.192, ""case_id"": ""71845""}, {""customer"": ""@115830 Grrr. Trying to checkout, item eligible for free delivery, but it keeps coming up as standard delivery. How am I supposed to get the free delivery when it won\u2019t let me"", ""historical_reply"": ""@147342 Sorry to hear. What is the item? Is it fulfilled by Amazon? Are you able to send a link and we can look into it?^PK"", ""similarity"": 0.171, ""case_id"": ""139086""}]",account_access,FALSE,1,1,1,2,2,2.0,2.0,2.0,2.0,2.0,account_access,False,"Review the suggestion against customer_text, draft_reply, and evidence_json. Human fields must be independently entered.",
19213,AmazonHelp,19214,"@120230 Hi, sorry to hear that you're having trouble logging in. Please contact us here: to look into this.^JJ",19214,120230,"Can't change my new Email address with @115821 ! I'm repeatedly told: ""There was a problem with your Password""",account_access,19214,account_access,0.7425427317727522,ESCALATE,account_access is high-risk,Thanks for flagging this. I’m routing this to a support specialist so they can review the details securely.,"[{""customer"": ""Can't change my new Email address with @115821 ! I'm repeatedly told: \""There was a problem with your Password\""...."", ""historical_reply"": ""@120230 Hey, did you try and change your password first? Do you have access to the email address associated with your account? ^AS"", ""similarity"": 1.0, ""case_id"": ""18969""}, {""customer"": ""@AmazonHelp I have added my email address with the account kindly get back with the resolution"", ""historical_reply"": ""@121399 In that case, please fill in form once again here: and let us know. We'll check and reach out to you. ^VN"", ""similarity"": 0.17, ""case_id"": ""24951""}, {""customer"": ""@AmazonHelp HI Amazon, where can I change my country of residence? Thanks"", ""historical_reply"": ""@137090 Hello Joe, can you please explain more? ^ARC"", ""similarity"": 0.159, ""case_id"": ""96645""}]",account_access,FALSE,1,1,1,2,2,2.0,2.0,2.0,2.0,2.0,account_access,False,"Review the suggestion against customer_text, draft_reply, and evidence_json. Human fields must be independently entered.",
73629,AmazonHelp,73631,"@132469 Hi, if you are getting verification codes sent to an old phone number, can you please update your new number on your account? You can find the instructions on how to do this here: ^KI",73631,132469,"Gee, thanks for suddenly wanting me to enter a random code that you sent to my old phone without reason, @115830 . I sold that phone. And the password was correct. But you know. Good job.",account_access,73631,account_access,0.1402534681967436,ESCALATE,account_access is high-risk; low intent confidence (0.14); weak historical match (0.17); possible multi-issue message,Thanks for flagging this. I’m routing this to a support specialist so they can review the details securely.,"[{""customer"": ""@115851 @115850 i need a new phone. My old phone is broken. Will you give me a one! Thank you"", ""historical_reply"": ""@134785 We'd love to send you one new phone if you place an order of your preferred choice. :-) ^MN"", ""similarity"": 0.172, ""case_id"": ""93711""}, {""customer"": ""@AmazonHelp Did you find the message that you sent ? Can I have the link to that ?"", ""historical_reply"": ""@133921 We apologize for the delay in the response. Be assured that we will get in touch with you at the earliest. ^BV"", ""similarity"": 0.135, ""case_id"": ""80776""}, {""customer"": ""@AmazonHelp Amazon. I got an email stating that my orders had been stopped and that I had to enter info about the phone number, address, and card #."", ""historical_reply"": ""@124852 Thanks for the info! In the e-mail, there should be a secure fax line to send the info to. Do you see it listed in there? ^AL"", ""similarity"": 0.13, ""case_id"": ""40376""}]",account_access,FALSE,1,1,1,2,2,2.0,2.0,2.0,2.0,2.0,account_access,False,"Review the suggestion against customer_text, draft_reply, and evidence_json. Human fields must be independently entered.",
22528,AmazonHelp,22526,@120919 Is there any option to skip login at the bottom of the login? ^PK,22526,120919,"@AmazonHelp hahahaha, you sent me this yesterday. If my problem is, I can't login, how do you expect me to complete this page I have to log in to?",account_access,22527,account_access,0.6429026358353478,ESCALATE,account_access is high-risk; low intent confidence (0.64); weak historical match (0.17),Thanks for flagging this. I’m routing this to a support specialist so they can review the details securely.,"[{""customer"": ""@AmazonHelp You have to log in. I don't remember the email address I used. Can you look up the account by my bank information?"", ""historical_reply"": ""@116082 It would be best if you get in touch with us by phone or chat.use this link to do so: ^CH"", ""similarity"": 0.166, ""case_id"": ""1701""}, {""customer"": ""@115830 I've been waiting for a parcel that was meant to arrive on Monday, to log in to my orders today to find that it is being returned"", ""historical_reply"": ""@122922 Did you get any email confirmation about this return? ^KM"", ""similarity"": 0.157, ""case_id"": ""31402""}, {""customer"": ""@AmazonHelp I can't log in to my account to even do that. That's the issue. I have Zero access cause it's been hacked."", ""historical_reply"": ""@122588 No problem, Heather! Below the Sign In button there is the option to Skip Sign In. Click on that since you don't have access."", ""similarity"": 0.14, ""case_id"": ""29948""}]",account_access,FALSE,1,1,1,2,2,2.0,2.0,2.0,2.0,2.0,account_access,False,"Review the suggestion against customer_text, draft_reply, and evidence_json. Human fields must be independently entered.",
21857,AmazonHelp,21858,@120765 Hi. If you get in touch: we'll be happy to look into this with you. ^DC,21858,120765,"@AmazonHelp OKAY, now I get ""connection timed out"", does GFW play a part here? (I'm in China). Even though, why ""wrong password""?",account_access,21861,information_request,0.1987886459999368,ESCALATE,low intent confidence (0.20); weak historical match (0.20),Thanks for flagging this. I’m routing this to a support specialist so they can review the details securely.,"[{""customer"": ""@AmazonHelp Okay. Mais pourquoi ?"", ""historical_reply"": ""@149048 Nous n'acceptons pas le paiement par PayPal. Ceci dit notre but est avant tout de satisfaire les attentes de nos clients, c'est pourquoi j'ai transmis votre remarque au d\u00e9partement concern\u00e9 pour qu'elle soit prise en consid\u00e9ration. ^ASZ"", ""similarity"": 0.198, ""case_id"": ""145698""}, {""customer"": ""@AmazonHelp Okay, so package has just been delivered even though I\u2019m sure it says you stop delivery at 8!! \ud83d\ude29\ud83d\ude29\ud83d\ude29"", ""historical_reply"": ""@132426 Thank you for letting us know it's arrived. If you would like, you're welcome to provide feedback about your experience to us using the following link: ^ST"", ""similarity"": 0.189, ""case_id"": ""73447""}, {""customer"": ""@AmazonHelp Okay. I just reported it"", ""historical_reply"": ""@133292 Thanks for writing back. Once you report to our support team, they will ensure to sort this out for you at the earliest. Do keep us posted for any further concern. ^PR"", ""similarity"": 0.181, ""case_id"": ""77623""}]",account_access,FALSE,1,1,1,2,2,2.0,2.0,2.0,2.0,2.0,information_request,False,"Review the suggestion against customer_text, draft_reply, and evidence_json. Human fields must be independently entered.",
